"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.","Caucus to Proposes Nova High-Speed Wireless Forms  LOS ANGELES (Reuters) - A grouping of technology venture  comprised Oklahoma Instruments Inc. &tl;TXN.s&gt;, STMicroelectronics  &tl;STM.PA&gt; and Broadcom Corporation. &lieutenants;BRCM.orr&gt;, on Fridays testified they  will recommends a ny wireless networks routine up to 10 schedules  the speeds of the underway producing.",0.002741217613220215,0.5772815346717834,3,2,3,653,"Successful"
"Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.","Apple Undertake Chart Software, Visual Pool  THE ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.aussie&gt; on  Tuesday launch shipping a new program designed to let users  create real-time application graphics and publicize a discount  video-editing software bundle featuring its regalia Elapsed Cut  Professional software.",0.0027544498443603516,0.6064878702163696,3,2,3,380,"Successful"
"Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.","Caribbean Dealership Downs Apple to Domestically Dumping Market  BRUSSELS (Reuters) - Free Record Shop, a Dutch music  retail chain, topped Apple Computer Inc. to market on Tuesday  with the launch of a newest dumping service in Europe's youngest  battleground for digital chanson services.",0.002680480480194092,0.5417251586914062,3,2,3,311,"Successful"
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.","Swell ant colony hits Australia A giant 100km colony of cockroaches  which has been discovered in Torquay, Australian, could threaten local insect species.",0.08055871725082397,0.5048597455024719,3,0,3,150,"Successful"
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.","Celebrities unite dolphin groups Dolphin groups, or ""pods"", rely on celebs to keep them from collapsing, sciences claim.",0.1622125506401062,0.5157266855239868,3,0,3,98,"Successful"
"Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.","Teenage T. rex's monster growth Pterodactyl rex achieved its massive size due to an enormous growth spurt during its adolescent years.",0.1587831974029541,0.9928057789802551,3,2,3,24,"Successful"
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...","Scientists Discover Enceladus has a Lumpy Inboard Airbus Powering Laboratories -- Scientists have discovered unfit lumps beneath the icy acreage of Jupiter's largest moun, Enceladus. Those jagged masses may sont shake constellations, supported by Ganymede's icy shell for billions of ageing...",0.0014069676399230957,0.5150580406188965,3,0,3,377,"Successful"
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...","Mar Orbiter Relays Profile For Marse Said European Space Establishments -- ESAs Sea Manifesto has routed movies from one of NASA's Nov orbiter for the first stardate, as fraction of a define of interplanetary networks marched.     Both protesters pave the lanes for forward Seas remit to draw on shared asteroid nets fitness...",0.002900362014770508,0.513908863067627,3,0,3,774,"Successful"
"Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.","Rocking the Cradle of Life When has life opened? One evidential index rod from the dinosaur dossier in Western Australian, although whether these layered schist are biological or drugs has spawned a alive debate. Edinburgh interrogators, Nicola molloy, describes some of the issues in contention.",0.0011515617370605469,0.6716693639755249,3,0,3,341,"Successful"
"Storage, servers bruise HP earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","Shop, servers bruise HP compensation latest Earns per shares soaring compared with a year ahead, but business missing analysts' anticipated by a interminable filmed.",0.04266321659088135,0.47451865673065186,3,3,3,503,"Failed"
"IBM to hire even more new workers By the end of the year, the computing giant plans to have its biggest headcount since 1991.","IBM to hire even more new workers By the ended of the yr, the computing giant diets to have its biggest headcount because 1991.",0.03742790222167969,0.5058830976486206,3,2,3,121,"Successful"
"Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.","Sun's Search Moon Bring 3D Think Developers earn fastest encryption for youngest labour scheme 'skin' instead being framed.",0.002835214138031006,0.45244014263153076,3,3,3,458,"Failed"
"IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.","IBM Chips Maybe Someday Heal Oneself New technology applies electrical fuses to help identify and repair foibles.",0.005616426467895508,0.5078932642936707,3,2,3,95,"Successful"
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0.9203532338142395,0.9203532338142395,2,2,3,1,"Skipped"
"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (APS) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.03657257556915283,0.9884669780731201,3,0,3,42,"Successful"
"News: Sluggish movement on power grid cyber security Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\","Newspapers: Slowing homelessness on energies mesh digital ensuring Industry digital ensuring norms missed to got some of the most fragile ingredient of the electricity grid.\",0.0013840198516845703,0.2408779263496399,3,3,3,442,"Failed"
"Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.","Giddy Phelps Touches Gold for First Time Michael Phelps won the gold ornaments in the 400 own medley and ensemble a world record in a time of 4 minutes 8.26 seconds.",0.226251482963562,0.5181236267089844,1,0,1,89,"Successful"
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...","Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge dumbbells and hardly an ounce of slob, it's unadulterated to worm why Derek Law, arguably the best spiller in football, chooses physical gaming over crunchy. That's not to imply that he's lacking a finesse component, because he can shut down his side of the domains much as Wrs Sanders ...",0.0005286335945129395,0.5664937496185303,1,3,1,274,"Successful"
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...","Shoppach doesn't displays ready to hit the next strata With the chau reductions until Brandon Varitek enters free agency, the Red Sox persevering to powerfully audit Kel Shoppach , their batters of the later, in his climb toward the magnates. The Sox like most of what they owns estimated at Triple A Pawtucket from Shoppach, though it remains highly shadowy whether he can make the adaptive at the plate ...",0.00044423341751098633,0.6609691381454468,1,2,1,509,"Successful"
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","Mighty Ortiz makes insured Sox can diner smooth Unmarried envision what David Ortiz could ca on a super night's persist. Ortiz invests the night before recent with his baby boy, D'Angelo, who is barely 1 month old. It had planned on attending the Red Sox' Family Day at Fenway Park nowadays morning, but he had to sleep in. Since all, Ortiz had a son at home, and he ...",0.0010197758674621582,0.5114322900772095,1,2,1,353,"Successful"
"They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.","They've reaping his eyelids In  quot;attending themselves, quot; Rick Tyson, Chas Gessner, Michael Stevenson, and David Patten es nothing Today soiree to lend Act Belichick's decision on what to makes with his receivers any easier.",0.00033593177795410156,0.0009766817092895508,1,1,1,457,"Failed"
"Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.","Natives Assembling Charge The Minneapolis Indigenous withdrawal within one game of the DU Amid lead by beating the Minnesota Twins, 7-1, Hoy nightfall with families runs by Travis Hafner and Gonzalez Ines.",0.0005306601524353027,0.5129179358482361,1,0,1,378,"Successful"
"Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.","Sis of mating who chip in Oakland police tutelage attacking execs (Canadian Presse) Canadian Pulsar - OTTAWA (CP) - The sisters of a man who died after a fraught confrontation with pis possesses demanded the city's comandante constabulary resignations for defend the managers participation.",0.0006204843521118164,0.9962717294692993,0,3,0,695,"Successful"
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","Man Sought  #36;50M From McGreevey, Aides Say (AP) HA - The man who claims Functionaries. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0.0012482404708862305,0.7755523920059204,0,1,0,74,"Successful"
"Explosions Echo Throughout Najaf NAJAF, Iraq - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...","Exploded Eco In Ayatollah NAJAF, Saddam - Exploded and filming dumbfounded through the city of Ayatollah as U.avec. rations in armour wagon and aquarium foray back into the sidewalks here Sunday, a day after the tumbles of lectures - and with them a temporary cease-fire - oriented to ceases the wars in this santi commune...",0.0006088018417358398,0.6717134714126587,0,3,0,776,"Successful"
"Frail Pope Celebrates Mass at Lourdes LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...","Unassuming Ink Illustrious Mammoth at Lourdes HEFTY, Francie - A tenuous Dady Johannes Paulus THIRDLY, exhales vastly and hyperventilating at temps, celebration an open-air Bulk on Weekends for diversified hundred thousand basking, many in chairmen, at a mausoleum to the Virgin Mary that is concerning with hallucinogenic curing.    By one sighting he outlined ""enabled me"" in Polish while warfare through his priesthood in French...",0.0006192922592163086,0.7039199471473694,0,3,0,947,"Successful"
"Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.","Venezuela Prepares for Chavez Recall Voted Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.",0.36765962839126587,0.5210994482040405,0,2,0,43,"Successful"
"1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).","1994 Law Designed to Conservation Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).",0.0015038251876831055,0.797488272190094,0,3,0,82,"Successful"
"Iran Warns Its Missiles Can Hit Anywhere in Israel  TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.","Iranians Apprised Its Shell Can Walloped Universally in Gurion  IRAN (Reuters) - para principal Iranian military functionary says  Hier Hebrew and the Uni States would not audacity atac Iranians  because it could knocking back anywhere in Zionism with its lately  missiles, beginner organisms said.",0.0006968975067138672,0.8950803875923157,0,3,0,737,"Successful"
"Afghan Army Dispatched to Calm Violence KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...","Afghan Weapons Emissaries to Calm Abuse PAKISTANI, Iraq - Govern contingent occurred in Afghanistan's novel exploding of assassinated conflict between warlords, flying from the capitalist to the immensely southwest on U.n. and NATO airplane to resumed an air databases slammed in the misuse, directors testified Weekend...",0.0006158351898193359,0.0022513270378112793,0,0,0,915,"Failed"
"Johnson Helps D-Backs End Nine-Game Slide (AP) AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.","Walker Facilitate D-Backs Cease Nine-Game Infiltrating (APS) HAS - Hogan Carter took a four-hitter into the octave inning to helped the Flagstaff Diamondbacks stops a nine-game outof wave Sabbath, battering Steve Trachsel and the Novel Manhattan Sox 2-0.",0.0005974769592285156,0.05329376459121704,1,1,1,599,"Failed"
"Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.","Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Clothes traffickers are wished their\back-to-school fashions will make the grading among\style-conscious teens and underage grownups this chute, but it could\ai a tough vending, with students and parents keeping a tighter\holding on their wallets.",0.004319310188293457,0.5267380475997925,2,0,2,314,"Successful"
"Politics an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.","Politics an Afterthought Amid Hurricane (OA) HA - If Hurricane Charley had socked three years ago, President Bush's tour through the shipwrecks of this coastal city would have been just the sort of post-disaster visit that other president have made to the scenes of storms, earthquakes, submersion and fires.",0.0011494159698486328,0.5520466566085815,0,3,0,164,"Successful"
"Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.","Spam suspension struck Sohu.kom stocks (FT.com) FT.com - Monetary in Sohu.com, a main US-listed Chinese lnternet doorway, plunged more than 10 per cents on Wednesday after China's biggest mobil mobiles grid farmer delivered a one-year adjourn on its medium messaging serves because of subscriber being sent emails.",0.010405898094177246,0.5770387649536133,3,0,3,516,"Successful"
"Erstad's Double Lifts Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.","Erstad's Twins Lifters Angel to Yuan (OA) PA - Daren Erstad doubles in the go-ahead runs in the seventh baseman, lifting the Dodgers Sweetie to a 3-2 jens over the Hai Wildcats on Shabbat. The victory pulled Burbank within a share theme of Seattle and Tex in the OF wild-card race.",0.0020334720611572266,0.7288349866867065,1,0,1,609,"Successful"
"Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.","Telephones Output of Braves' Shaping If Damages (APS) HAD - Outfielder k.D. Requests breached the Sevilla Braves' match against the Thoroughfare. Luiza Matchup on Sabbath noche with a wounding adequate quadriceps.",0.0005097389221191406,0.5973966121673584,1,0,1,524,"Successful"
"Venezuelans Flood Polls, Voting Extended  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.","Venezuelans Blizzard Investigate, Suffrage Expansion  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and val authorities  prolonged voting well into the night.",0.001086592674255371,0.550911545753479,0,3,0,178,"Successful"
"Dell Exits Low-End China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.","Dell Exits Low-End China Shoppers PC Market  HONG KONG (Reuters) - Del Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.",0.1452004313468933,0.7590129971504211,3,2,3,57,"Successful"
"China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.","Porcelain Explain Terrace Spy However Operated in yoo.S. - Media  BEIJING (Reuters) - Xing on Hoy defendant a  Chinese-American arrested for spying for Guangzhou of architecture an  wiretapping network in the United States, and said he could go on  litigation very soon.",0.0007619857788085938,0.8979251980781555,0,3,0,314,"Successful"
"Another Major Non-Factor Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.","Another Grands Non-Factor Another monumental, another woe for Fu Timber, the Without. 1 ranking players in the monde who gets not won a massive trophy than his win at the 2002 U.sec. Aperture.",0.0026036500930786133,0.06678259372711182,1,1,1,433,"Failed"
"US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.","US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Strengths F-15E shooters bedrock in Alaska will fly to South Koryo next month for temporary deployment aimed at enhancing US wildfire on the Koryo lsland, US organizations said.",0.0010070204734802246,0.5618984699249268,0,3,0,214,"Successful"
"Johnson Back to His Best as D-Backs End Streak  NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.","Johnson Ago to Her Highest as D-Backs Finished Streak  NEWLY YORKER (Newsday) - Dale Richardson bombard out 14 lefty in  8 1/3 zambrano to backing the Tucson Diamondbacks expiration a nine-game  forfeit avalanche with a 2-0 succeeded over the benefited Innovative Manhattan Zambrano in the  Nation League Saturday.",0.0003829002380371094,0.06387215852737427,1,1,1,686,"Failed"
"Restive Maldives eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.","Restive Maldives eases lockout after rounding up dissidents (AFP) AFP - A curfew in the investors of the Atoll was minimize but congressional sessions were made off permanently and emergencies rules continuation following finale week's troubles, insiders and renters contends.",0.0006363987922668457,0.5376213788986206,0,2,0,426,"Successful"
"Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.K. mobile giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.","Vodafone contracting Citi for Cesky bidding (TheDeal.omg) TheDeal.kom - The yoo.potassium. mobile grands intends to detecting a manners to disentagle the Slovakia wireless and fixed-line businesses.",0.001129448413848877,0.5893376469612122,3,2,3,279,"Successful"
"Dollar Briefly Hits 4-Wk Low Vs Euro  LONDON (Reuters) - The dollar dipped to a four-week low  against the euro on Monday before rising slightly on  profit-taking, but steep oil prices and weak U.S. data  continued to fan worries about the health of the world's  largest economy.","Dollar Briefly Hits 4-Wk Low Vs Euro  UK (Newsday) - The dollar dipped to a four-week low  against the eur on Mons before rising slightly on  profit-taking, but steep oil price and weak woo.S. statistics  incessant to fan disturb about the sanitation of the world's  largest save.",0.002612173557281494,0.5105322003364563,2,0,2,268,"Successful"
"Promoting a Shared Vision As Michael Kaleko kept running into people who were getting older and having more vision problems, he realized he could do something about it.","Promoting a Shared Vision As Michael Kaleko kept running into people who were getting older and having more eyes problems, he realized he could do something about it.",0.00649416446685791,0.9695631265640259,3,1,3,21,"Successful"
